stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000264972	9606.ENSP00000264033	ZAP70	CBL	9606	0.999	0	0	0	0	0.988	0	0.975
9606.ENSP00000264972	9606.ENSP00000354782	ZAP70	CD247	9606	0.999	0	0	0	0.8	0.992	0.9	0.998
9606.ENSP00000264972	9606.ENSP00000378845	ZAP70	LAT	9606	0.999	0	0	0	0.48	0.72	0.5	0.989
9606.ENSP00000264972	9606.ENSP00000477713	ZAP70	LCK	9606	0.999	0	0	0.086	0.773	0.829	0.9	0.986
9606.ENSP00000264972	9606.ENSP00000262629	ZAP70	TYROBP	9606	0.999	0	0	0	0.098	0	0.9	0.994
