category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:35124007	6	21	9606	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	1.67e-15	1.72e-10	(2022) In vitro reconstitution reveals cooperative mechanisms of adapter protein-mediated activation of phospholipase C-gamma1 in T cells.
PMID	PMID:26163016	6	21	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	1.67e-15	1.72e-10	(2015) T cell specific adaptor protein (TSAd) promotes interaction of Nck with Lck and SLP-76 in T cells.
PMID	PMID:15314068	6	21	9606	LCP2,ZAP70,CD3D,CD247,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,VAV1,LCK	1.67e-15	1.72e-10	(2004) T cell receptor antagonism interferes with MHC clustering and integrin patterning during immunological synapse formation.
PMID	PMID:12515827	6	21	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	1.67e-15	1.72e-10	(2003) Dynamic changes in the mobility of LAT in aggregated lipid rafts upon T cell activation.
PMID	PMID:12093866	6	21	9606	LCP2,ZAP70,CD3D,CD247,LAT,LCK	LCP2,ZAP70,CD3D,CD247,LAT,LCK	1.67e-15	1.72e-10	(2002) Contributions of the T cell receptor-associated CD3gamma-ITAM to thymocyte selection.
PMID	PMID:11489921	6	21	9606	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	1.67e-15	1.72e-10	(2001) High resolution mapping of mast cell membranes reveals primary and secondary domains of Fc(epsilon)RI and LAT.
PMID	PMID:33929486	6	22	9606	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	2.13e-15	1.96e-10	(2021) PLCgamma1 promotes phase separation of T cell signaling components.
PMID	PMID:34018748	6	22	9606	LCP2,ZAP70,CD3D,CD3E,CD247,LCK	LCP2,ZAP70,CD3D,CD3E,CD247,LCK	2.13e-15	1.96e-10	(2021) Ovalbumin Antigen-Specific Activation of Human T Cell Receptor Closely Resembles Soluble Antibody Stimulation as Revealed by BOOST Phosphotyrosine Proteomics.
PMID	PMID:31334230	7	67	9606	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	2.56e-15	2.27e-10	(2019) Orchestration of Immunological Synapse Assembly by Vesicular Trafficking.
PMID	PMID:35774508	6	23	9606	LCP2,ZAP70,CD3E,CD247,VAV1,LCK	LCP2,ZAP70,CD3E,CD247,VAV1,LCK	2.68e-15	2.34e-10	(2022) Identification of Immune-Related Hub Genes in Thymoma: Defects in CD247 and Characteristics of Paraneoplastic Syndrome.
PMID	PMID:25636200	6	23	9606	LCP2,ZAP70,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,LAT,SHC1,VAV1,LCK	2.68e-15	2.34e-10	(2015) GADS is required for TCR-mediated calcium influx and cytokine release, but not cellular adhesion, in human T cells.
PMID	PMID:18566390	6	23	9606	LCP2,ZAP70,CD3D,CD247,LAT,LCK	LCP2,ZAP70,CD3D,CD247,LAT,LCK	2.68e-15	2.34e-10	(2008) The proline-rich sequence of CD3epsilon as an amplifier of low-avidity TCR signaling.
PMID	PMID:19290927	7	71	9606	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,VAV1,LCK	3.76e-15	3.12e-10	(2009) Abl tyrosine kinases in T-cell signaling.
PMID	PMID:15238603	6	25	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	4.16e-15	3.39e-10	(2004) Inactivation of c-Cbl reverses neonatal lethality and T cell developmental arrest of SLP-76-deficient mice.
PMID	PMID:27692176	8	167	9606	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	5.3e-15	4.26e-10	(2016) Orchestrating Lymphocyte Polarity in Cognate Immune Cell-Cell Interactions.
PMID	PMID:23946894	7	75	9606	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,VAV1,LCK	5.4e-15	4.28e-10	(2012) T cell Receptor Signal Transduction in T lymphocytes.
PMID	PMID:37564638	6	27	9606	LCP2,ZAP70,CD247,LAT,SHC1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,LCK	6.25e-15	4.87e-10	(2023) Editorial: Community series in adaptor molecules in T cell signaling, volume II.
PMID	PMID:9547330	6	27	9606	ZAP70,CD3D,CD247,LAT,VAV1,LCK	ZAP70,CD3D,CD247,LAT,VAV1,LCK	6.25e-15	4.87e-10	(1998) T cell receptor (TCR) engagement in apoptosis-defective, but interleukin 2 (IL-2)-producing, T cells results in impaired ZAP70CD3-zeta association.
PMID	PMID:31253807	6	28	9606	LCP2,ZAP70,CD247,LAT,SHC1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,LCK	7.59e-15	5.74e-10	(2019) Tethering of vesicles to the Golgi by GMAP210 controls LAT delivery to the immune synapse.
PMID	PMID:10438919	5	6	9606	LCP2,ZAP70,LAT,VAV1,LCK	LCP2,ZAP70,LAT,VAV1,LCK	8.6e-15	6.41e-10	(1999) Phospho-LAT-independent activation of the ras-mitogen-activated protein kinase pathway: a differential recruitment model of TCR partial agonist signaling.
PMID	PMID:34016623	6	29	9606	ZAP70,CD3D,CD3E,CD247,SHC1,LCK	ZAP70,CD3D,CD3E,CD247,SHC1,LCK	9.16e-15	6.73e-10	(2021) Quantitative Analysis of Tyrosine Phosphorylation from FFPE Tissues Reveals Patient-Specific Signaling Networks.
PMID	PMID:32409824	6	29	9606	LCP2,TYROBP,ZAP70,CD247,VAV1,LCK	LCP2,TYROBP,ZAP70,CD247,VAV1,LCK	9.16e-15	6.73e-10	(2020) Enhancing network activation in natural killer cells: predictions from in silico modeling.
PMID	PMID:18378687	6	29	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	9.16e-15	6.73e-10	(2008) Inhibition of ZAP-70 kinase activity via an analog-sensitive allele blocks T cell receptor and CD28 superagonist signaling.
PMID	PMID:33857631	6	30	9606	LCP2,CBL,CD247,LAT,VAV1,LCK	LCP2,CBL,CD247,LAT,VAV1,LCK	1.1e-14	7.74e-10	(2021) Building protein networks in synthetic systems from the bottom-up.
PMID	PMID:29953390	7	84	9606	LCP2,TYROBP,CBL,ZAP70,CD247,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,CD247,VAV1,LCK	1.15e-14	7.74e-10	(2018) Strategies to enhance NK cell function for the treatment of tumors and infections.
PMID	PMID:23150273	6	30	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	1.1e-14	7.74e-10	(2013) The adaptor protein LAT serves as an integration node for signaling pathways that drive T cell activation.
PMID	PMID:17998387	6	30	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	1.1e-14	7.74e-10	(2007) Phosphoinositide 3-kinase gamma participates in T cell receptor-induced T cell activation.
PMID	PMID:15365099	6	30	9606	LCP2,TYROBP,ZAP70,CD247,LAT,VAV1	LCP2,TYROBP,ZAP70,CD247,LAT,VAV1	1.1e-14	7.74e-10	(2004) Differential requirements for Vav proteins in DAP10- and ITAM-mediated NK cell cytotoxicity.
PMID	PMID:37372093	7	85	9606	LCP2,ZAP70,CD3D,CD3E,CD247,VAV1,LCK	LCP2,ZAP70,CD3D,CD3E,CD247,VAV1,LCK	1.24e-14	8.2e-10	(2023) Intrinsic Immunogenic Tumor Cell Death Subtypes Delineate Prognosis and Responsiveness to Immunotherapy in Lung Adenocarcinoma.
PMID	PMID:11696592	6	31	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	1.31e-14	8.54e-10	(2001) Functional cloning of Src-like adapter protein-2 (SLAP-2), a novel inhibitor of antigen receptor signaling.
PMID	PMID:23209318	6	32	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	1.56e-14	1e-09	(2013) A phospholipase C-gamma1-independent, RasGRP1-ERK-dependent pathway drives lymphoproliferative disease in linker for activation of T cells-Y136F mutant mice.
PMID	PMID:17043143	6	32	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	1.56e-14	1e-09	(2006) T cell receptor for antigen induces linker for activation of T cell-dependent activation of a negative signaling complex involving Dok-2, SHIP-1, and Grb-2.
PMID	PMID:10790433	6	32	9606	LCP2,ZAP70,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,LAT,SHC1,VAV1,LCK	1.56e-14	1e-09	(2000) Phosphoprotein associated with glycosphingolipid-enriched microdomains (PAG), a novel ubiquitously expressed transmembrane adaptor protein, binds the protein tyrosine kinase csk and is involved in regulation of T cell activation.
PMID	PMID:31776916	7	89	9606	LCP2,ZAP70,CD3D,CD247,SHC1,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,SHC1,VAV1,LCK	1.69e-14	1.05e-09	(2020) T Cell Reprogramming Against Cancer.
PMID	PMID:23874979	6	33	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	1.84e-14	1.13e-09	(2013) ERK positive feedback regulates a widespread network of tyrosine phosphorylation sites across canonical T cell signaling and actin cytoskeletal proteins in Jurkat T cells.
PMID	PMID:24222714	6	33	9606	LCP2,CBL,ZAP70,LAT,SHC1,LCK	LCP2,CBL,ZAP70,LAT,SHC1,LCK	1.84e-14	1.13e-09	(2013) The ability of Sos1 to oligomerize the adaptor protein LAT is separable from its guanine nucleotide exchange activity in vivo.
PMID	PMID:22912825	6	33	9606	LCP2,CBL,ZAP70,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD247,VAV1,LCK	1.84e-14	1.13e-09	(2012) The adaptor protein SAP directly associates with CD3zeta chain and regulates T cell receptor signaling.
PMID	PMID:23189081	6	33	9606	LCP2,ZAP70,CD3D,CD247,LAT,LCK	LCP2,ZAP70,CD3D,CD247,LAT,LCK	1.84e-14	1.13e-09	(2012) The integration of signaling and the spatial organization of the T cell synapse.
PMID	PMID:22346772	6	34	9606	LCP2,CBL,ZAP70,LAT,VAV1,LCK	LCP2,CBL,ZAP70,LAT,VAV1,LCK	2.16e-14	1.26e-09	(2011) T cell receptor signaling that regulates the development of intrathymic natural regulatory T cells.
PMID	PMID:18823547	6	34	9606	LCP2,ZAP70,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD247,LAT,VAV1,LCK	2.16e-14	1.26e-09	(2008) The small GTPase RhoH is an atypical regulator of haematopoietic cells.
PMID	PMID:37078002	7	93	9606	LCP2,TYROBP,ZAP70,CD247,SHC1,VAV1,LCK	LCP2,TYROBP,ZAP70,CD247,SHC1,VAV1,LCK	2.27e-14	1.3e-09	(2022) Current state of NK cell-mediated immunotherapy in chronic lymphocytic leukemia.
PMID	PMID:36480602	6	35	9606	ZAP70,CD247,LAT,SHC1,VAV1,LCK	ZAP70,CD247,LAT,SHC1,VAV1,LCK	2.53e-14	1.43e-09	(2022) Decoding CAR T cell phenotype using combinatorial signaling motif libraries and machine learning.
PMID	PMID:27941787	6	35	9606	LCP2,CBL,ZAP70,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD247,VAV1,LCK	2.53e-14	1.43e-09	(2017) Recruitment of calcineurin to the TCR positively regulates T cell activation.
PMID	PMID:25870599	6	35	9606	LCP2,ZAP70,CD247,LAT,SHC1,LCK	LCP2,ZAP70,CD247,LAT,SHC1,LCK	2.53e-14	1.43e-09	(2015) GRB2 Nucleates T Cell Receptor-Mediated LAT Clusters That Control PLC-gamma1 Activation and Cytokine Production.
PMID	PMID:32509861	6	36	9606	LCP2,TYROBP,ZAP70,CD3D,CD3E,CD247	LCP2,TYROBP,ZAP70,CD3D,CD3E,CD247	2.96e-14	1.62e-09	(2020) Database Mining of Genes of Prognostic Value for the Prostate Adenocarcinoma Microenvironment Using the Cancer Gene Atlas.
PMID	PMID:32290478	7	99	9606	LCP2,TYROBP,CBL,ZAP70,CD247,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,CD247,VAV1,LCK	3.45e-14	1.87e-09	(2020) Natural Killer Cells: Tumor Surveillance and Signaling.
PMID	PMID:25477210	5	9	9606	LCP2,CBL,ZAP70,VAV1,LCK	LCP2,CBL,ZAP70,VAV1,LCK	3.72e-14	1.98e-09	(2015) Regulation of T cell development by c-Cbl: essential role of Lck.
PMID	PMID:19132916	7	100	9606	LCP2,CBL,ZAP70,CD247,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD247,SHC1,VAV1,LCK	3.69e-14	1.98e-09	(2009) T cell activation.
PMID	PMID:11207267	5	9	9606	CBL,ZAP70,LAT,VAV1,LCK	CBL,ZAP70,LAT,VAV1,LCK	3.72e-14	1.98e-09	(2001) Single-cell analyses reveal two defects in peptide-specific activation of naive T cells from aged mice.
PMID	PMID:9653163	5	9	9606	LCP2,ZAP70,CD247,LAT,VAV1	LCP2,ZAP70,CD247,LAT,VAV1	3.72e-14	1.98e-09	(1998) Altered peptide ligands induce quantitatively but not qualitatively different intracellular signals in primary thymocytes.
PMID	PMID:36551835	6	40	9606	LCP2,CBL,ZAP70,CD247,VAV1,LCK	LCP2,CBL,ZAP70,CD247,VAV1,LCK	5.27e-14	2.71e-09	(2022) The Functional Properties and Physiological Roles of Signal-Transducing Adaptor Protein-2 in the Pathogenesis of Inflammatory and Immune Disorders.
RCTM	HSA-202433	7	31	9606	LCP2,ZAP70,CD3D,CD3E,CD247,LAT,LCK	LCP2,ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.81e-17	4.13e-14	Generation of second messenger molecules
RCTM	HSA-202430	5	16	9606	ZAP70,CD3D,CD3E,CD247,LCK	ZAP70,CD3D,CD3E,CD247,LCK	3.78e-13	2.88e-10	Translocation of ZAP-70 to Immunological synapse
RCTM	HSA-2424491	5	29	9606	LCP2,TYROBP,LAT,SHC1,LCK	LCP2,TYROBP,LAT,SHC1,LCK	5.15e-12	2.94e-09	DAP12 signaling
RCTM	HSA-1280218	9	758	9606	LCP2,TYROBP,ZAP70,CD3D,CD3E,CD247,LAT,VAV1,LCK	LCP2,TYROBP,ZAP70,CD3D,CD3E,CD247,LAT,VAV1,LCK	1e-11	4.58e-09	Adaptive Immune System
RCTM	HSA-168256	11	1979	9606	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,VAV1,LCK	1.08e-11	4.58e-09	Immune System
RCTM	HSA-388841	5	66	9606	CD3D,CD3E,CD247,VAV1,LCK	CD3D,CD3E,CD247,VAV1,LCK	2.39e-10	6.81e-08	Costimulation by the CD28 family
RCTM	HSA-202427	4	19	9606	CD3D,CD3E,CD247,LCK	CD3D,CD3E,CD247,LCK	4.62e-10	1.17e-07	Phosphorylation of CD3 and TCR zeta chains
RCTM	HSA-389948	4	20	9606	CD3D,CD3E,CD247,LCK	CD3D,CD3E,CD247,LCK	5.55e-10	1.27e-07	PD-1 signaling
RCTM	HSA-114604	4	35	9606	LCP2,LAT,VAV1,LCK	LCP2,LAT,VAV1,LCK	4.27e-09	7.96e-07	GPVI-mediated activation cascade
RCTM	HSA-2871796	4	34	9606	LCP2,LAT,SHC1,VAV1	LCP2,LAT,SHC1,VAV1	3.84e-09	7.96e-07	FCERI mediated MAPK activation
RCTM	HSA-2871809	4	34	9606	LCP2,LAT,SHC1,VAV1	LCP2,LAT,SHC1,VAV1	3.84e-09	7.96e-07	FCERI mediated Ca+2 mobilization
RCTM	HSA-202424	4	92	9606	CD3D,CD3E,CD247,LCK	CD3D,CD3E,CD247,LCK	1.7e-07	2.77e-05	Downstream TCR signaling
RCTM	HSA-76002	5	260	9606	LCP2,LAT,SHC1,VAV1,LCK	LCP2,LAT,SHC1,VAV1,LCK	1.83e-07	2.78e-05	Platelet activation, signaling and aggregation
RCTM	HSA-168249	7	1041	9606	LCP2,TYROBP,CD247,LAT,SHC1,VAV1,LCK	LCP2,TYROBP,CD247,LAT,SHC1,VAV1,LCK	3.22e-07	4.59e-05	Innate Immune System
RCTM	HSA-198933	4	130	9606	TYROBP,CD3D,CD3E,CD247	TYROBP,CD3D,CD3E,CD247	6.5e-07	8.72e-05	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell
RCTM	HSA-1433557	3	43	9606	CBL,VAV1,LCK	CBL,VAV1,LCK	1.94e-06	0.00023	Signaling by SCF-KIT
RCTM	HSA-512988	3	48	9606	CBL,SHC1,VAV1	CBL,SHC1,VAV1	2.65e-06	0.0003	Interleukin-3, Interleukin-5 and GM-CSF signaling
RCTM	HSA-164944	2	8	9606	CD247,LCK	CD247,LCK	1.27e-05	0.0013	Nef and signal transduction
RCTM	HSA-389359	2	12	9606	VAV1,LCK	VAV1,LCK	2.57e-05	0.0025	CD28 dependent Vav1 pathway
RCTM	HSA-9020558	2	12	9606	SHC1,LCK	SHC1,LCK	2.57e-05	0.0025	Interleukin-2 signaling
RCTM	HSA-9027284	2	14	9606	SHC1,VAV1	SHC1,VAV1	3.38e-05	0.0031	Erythropoietin activates RAS
RCTM	HSA-5637810	2	15	9606	CBL,SHC1	CBL,SHC1	3.83e-05	0.0034	Constitutive Signaling by EGFRvIII
RCTM	HSA-1433559	2	16	9606	CBL,LCK	CBL,LCK	4.31e-05	0.0035	Regulation of KIT signaling
RCTM	HSA-1236382	2	19	9606	CBL,SHC1	CBL,SHC1	5.91e-05	0.0047	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
RCTM	HSA-5663202	4	430	9606	CBL,SHC1,VAV1,LCK	CBL,SHC1,VAV1,LCK	6.77e-05	0.005	Diseases of signal transduction by growth factor receptors and second messengers
RCTM	HSA-912631	2	22	9606	CBL,VAV1	CBL,VAV1	7.76e-05	0.0055	Regulation of signaling by CBL
RCTM	HSA-449147	4	453	9606	CBL,SHC1,VAV1,LCK	CBL,SHC1,VAV1,LCK	8.27e-05	0.0057	Signaling by Interleukins
RCTM	HSA-9006934	4	521	9606	CBL,SHC1,VAV1,LCK	CBL,SHC1,VAV1,LCK	0.00014	0.0087	Signaling by Receptor Tyrosine Kinases
RCTM	HSA-9680350	2	31	9606	CBL,SHC1	CBL,SHC1	0.00015	0.0089	Signaling by CSF1 (M-CSF) in myeloid cells
RCTM	HSA-9013407	2	37	9606	ZAP70,LCK	ZAP70,LCK	0.00021	0.0118	RHOH GTPase cycle
RCTM	HSA-9607240	2	38	9606	CBL,LCK	CBL,LCK	0.00022	0.0122	FLT3 Signaling
RCTM	HSA-5654741	2	40	9606	CBL,SHC1	CBL,SHC1	0.00024	0.0131	Signaling by FGFR3
RCTM	HSA-5654743	2	41	9606	CBL,SHC1	CBL,SHC1	0.00025	0.0134	Signaling by FGFR4
RCTM	HSA-177929	2	50	9606	CBL,SHC1	CBL,SHC1	0.00037	0.0188	Signaling by EGFR
RCTM	HSA-5654736	2	50	9606	CBL,SHC1	CBL,SHC1	0.00037	0.0188	Signaling by FGFR1
RCTM	HSA-9664422	2	62	9606	CD247,VAV1	CD247,VAV1	0.00056	0.0266	FCGR3A-mediated phagocytosis
RCTM	HSA-2029482	2	64	9606	CD247,VAV1	CD247,VAV1	0.0006	0.0267	Regulation of actin dynamics for phagocytic cup formation
RCTM	HSA-5654738	2	73	9606	CBL,SHC1	CBL,SHC1	0.00077	0.0337	Signaling by FGFR2
RCTM	HSA-2219530	2	78	9606	VAV1,LCK	VAV1,LCK	0.00087	0.0376	Constitutive Signaling by Aberrant PI3K in Cancer
RCTM	HSA-6806834	2	79	9606	CBL,SHC1	CBL,SHC1	0.0009	0.0379	Signaling by MET
RCTM	HSA-162582	6	2540	9606	CBL,ZAP70,LAT,SHC1,VAV1,LCK	CBL,ZAP70,LAT,SHC1,VAV1,LCK	0.0012	0.0478	Signal Transduction
RCTM	HSA-5663205	4	917	9606	CBL,CD247,VAV1,LCK	CBL,CD247,VAV1,LCK	0.0012	0.0478	Infectious disease
WikiPathways	WP69	10	90	9606	LCP2,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,VAV1,LCK	7.79e-23	6.09e-20	T-cell receptor signaling pathway
WikiPathways	WP5072	8	61	9606	LCP2,ZAP70,CD3D,CD3E,CD247,LAT,VAV1,LCK	LCP2,ZAP70,CD3D,CD3E,CD247,LAT,VAV1,LCK	2.43e-18	9.47e-16	Modulators of TCR signaling and T cell activation
WikiPathways	WP5098	7	88	9606	LCP2,ZAP70,CD3D,CD3E,CD247,LAT,LCK	LCP2,ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.57e-14	4.08e-12	T-cell activation SARS-CoV-2
WikiPathways	WP3863	6	62	9606	LCP2,CBL,ZAP70,CD3D,LAT,LCK	LCP2,CBL,ZAP70,CD3D,LAT,LCK	6.13e-13	1.2e-10	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection
WikiPathways	WP5130	6	69	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.13e-12	1.76e-10	Th17 cell differentiation pathway
WikiPathways	WP4884	4	21	9606	ZAP70,CD3E,CD247,LCK	ZAP70,CD3E,CD247,LCK	6.6e-10	8.59e-08	Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex
WikiPathways	WP4585	4	23	9606	ZAP70,CD3D,CD3E,LCK	ZAP70,CD3D,CD3E,LCK	9.15e-10	1.02e-07	Cancer immunotherapy by PD-1 blockade
WikiPathways	WP585	4	54	9606	CBL,ZAP70,VAV1,LCK	CBL,ZAP70,VAV1,LCK	2.19e-08	2.14e-06	Interferon type I signaling pathways
WikiPathways	WP2037	4	76	9606	CBL,ZAP70,SHC1,VAV1	CBL,ZAP70,SHC1,VAV1	8.12e-08	7.05e-06	Prolactin signaling pathway
WikiPathways	WP23	4	97	9606	CBL,SHC1,VAV1,LCK	CBL,SHC1,VAV1,LCK	2.08e-07	1.63e-05	B cell receptor signaling pathway
WikiPathways	WP3937	3	40	9606	TYROBP,LAT,VAV1	TYROBP,LAT,VAV1	1.58e-06	0.00011	Microglia pathogen phagocytosis pathway
WikiPathways	WP49	3	42	9606	CBL,SHC1,LCK	CBL,SHC1,LCK	1.81e-06	0.00012	IL-2 signaling pathway
WikiPathways	WP286	3	49	9606	CBL,SHC1,VAV1	CBL,SHC1,VAV1	2.82e-06	0.00017	IL-3 signaling pathway
WikiPathways	WP304	3	59	9606	CBL,SHC1,VAV1	CBL,SHC1,VAV1	4.8e-06	0.00027	Kit receptor signaling pathway
WikiPathways	WP5115	4	218	9606	ZAP70,CD3E,CD247,LCK	ZAP70,CD3E,CD247,LCK	4.86e-06	0.00027	Network map of SARS-CoV-2 signaling pathway
WikiPathways	WP437	3	162	9606	CBL,SHC1,VAV1	CBL,SHC1,VAV1	9.05e-05	0.0044	EGF/EGFR signaling pathway
WikiPathways	WP2583	2	28	9606	ZAP70,LCK	ZAP70,LCK	0.00012	0.0056	T cell receptor and co-stimulatory signaling
WikiPathways	WP4223	3	181	9606	ZAP70,LAT,SHC1	ZAP70,LAT,SHC1	0.00012	0.0056	Ras signaling
WikiPathways	WP453	2	30	9606	ZAP70,LCK	ZAP70,LCK	0.00014	0.0057	Inflammatory response pathway
WikiPathways	WP2526	2	40	9606	SHC1,VAV1	SHC1,VAV1	0.00024	0.0094	PDGF pathway
WikiPathways	WP364	2	43	9606	SHC1,VAV1	SHC1,VAV1	0.00028	0.0103	IL6 signaling pathway
WikiPathways	WP395	2	54	9606	CBL,SHC1	CBL,SHC1	0.00043	0.0152	IL-4 signaling pathway
WikiPathways	WP3680	2	65	9606	CBL,SHC1	CBL,SHC1	0.00061	0.0208	Physico-chemical features and toxicity-associated pathways
WikiPathways	WP673	2	89	9606	CBL,SHC1	CBL,SHC1	0.0011	0.0367	ErbB signaling pathway
HPO	HP:0025540	6	52	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	2.27e-13	2.77e-09	Abnormal T cell subset distribution
HPO	HP:0001888	6	114	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	2.02e-11	6.17e-08	Lymphopenia
HPO	HP:0001881	8	517	9606	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	3.7e-11	9.02e-08	Abnormal leukocyte morphology
HPO	HP:0010987	8	517	9606	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	3.7e-11	9.02e-08	Abnormal cellular immune system morphology
HPO	HP:0005401	4	13	9606	ZAP70,CD3D,CD3E,CD247	ZAP70,CD3D,CD3E,CD247	1.24e-10	1.52e-07	Recurrent candida infections
HPO	HP:0011893	7	367	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	2.59e-10	2.87e-07	Abnormal leukocyte count
HPO	HP:0009098	4	17	9606	ZAP70,CD3D,CD3E,CD247	ZAP70,CD3D,CD3E,CD247	3.13e-10	3.18e-07	Chronic oral candidiasis
HPO	HP:0031381	4	21	9606	ZAP70,CD3D,CD3E,CD247	ZAP70,CD3D,CD3E,CD247	6.6e-10	6.2e-07	Decreased lymphocyte proliferation in response to mitogen
HPO	HP:0001974	5	95	9606	CBL,ZAP70,CD3D,CD3E,CD247	CBL,ZAP70,CD3D,CD3E,CD247	1.37e-09	1.19e-06	Leukocytosis
HPO	HP:0032169	4	33	9606	CD3D,CD3E,CD247,LAT	CD3D,CD3E,CD247,LAT	3.43e-09	2.33e-06	Severe infection
HPO	HP:0002014	6	309	9606	CBL,ZAP70,CD3D,CD3E,CD247,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LCK	6.86e-09	4.19e-06	Diarrhea
HPO	HP:0001433	5	136	9606	CBL,ZAP70,CD3D,CD3E,CD247	CBL,ZAP70,CD3D,CD3E,CD247	7.79e-09	4.52e-06	Hepatosplenomegaly
HPO	HP:0002783	5	139	9606	ZAP70,CD3D,CD3E,CD247,LAT	ZAP70,CD3D,CD3E,CD247,LAT	8.66e-09	4.8e-06	Recurrent lower respiratory tract infections
HPO	HP:0003460	3	6	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	1.08e-08	5.75e-06	Decreased circulating total IgA
HPO	HP:0008866	3	7	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	1.55e-08	7.87e-06	Failure to thrive secondary to recurrent infections
HPO	HP:0001880	4	50	9606	ZAP70,CD3D,CD3E,CD247	ZAP70,CD3D,CD3E,CD247	1.64e-08	7.99e-06	Eosinophilia
HPO	HP:0020064	4	50	9606	ZAP70,CD3D,CD3E,CD247	ZAP70,CD3D,CD3E,CD247	1.64e-08	7.99e-06	Abnormal eosinophil count
HPO	HP:0004313	5	169	9606	ZAP70,CD3D,CD3E,CD247,LAT	ZAP70,CD3D,CD3E,CD247,LAT	2.24e-08	9.76e-06	Decreased circulating antibody level
