category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
TISSUES	BTO:0002144	3	34	9606	ZAP70,CD247,LCK	ZAP70,CD247,LCK	9.94e-07	0.00035	Acute lymphoblastic leukemia cell line
TISSUES	BTO:0000753	7	1600	9606	TYROBP,ZAP70,CD3E,CD247,LAT,VAV1,LCK	TYROBP,ZAP70,CD3E,CD247,LAT,VAV1,LCK	5.82e-06	0.0013	Lymphoid tissue
TISSUES	BTO:0002504	2	18	9606	ZAP70,LCK	ZAP70,LCK	5.35e-05	0.0087	T-lymphoblastic leukemia cell line
TISSUES	BTO:0001368	4	640	9606	CD3E,LAT,SHC1,LCK	CD3E,LAT,SHC1,LCK	0.00031	0.047	Thorax
DISEASES	DOID:627	3	35	9606	ZAP70,CD3D,CD247	ZAP70,CD3D,CD247	1.08e-06	0.005	Severe combined immunodeficiency
Keyword	KW-0727	5	110	9606	LCP2,ZAP70,SHC1,VAV1,LCK	LCP2,ZAP70,SHC1,VAV1,LCK	2.78e-09	1.87e-06	SH2 domain
Keyword	KW-1064	5	168	9606	ZAP70,CD3D,CD3E,CD247,LAT	ZAP70,CD3D,CD3E,CD247,LAT	2.18e-08	7.31e-06	Adaptive immunity
Keyword	KW-0391	6	537	9606	TYROBP,ZAP70,CD3D,CD3E,CD247,LAT	TYROBP,ZAP70,CD3D,CD3E,CD247,LAT	1.75e-07	3.91e-05	Immunity
Keyword	KW-0597	11	8122	9606	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,VAV1,LCK	LCP2,TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,SHC1,VAV1,LCK	5.88e-05	0.0099	Phosphoprotein
Keyword	KW-0705	2	20	9606	ZAP70,CD3D	ZAP70,CD3D	6.5e-05	0.0099	SCID
Keyword	KW-0656	3	225	9606	CBL,VAV1,LCK	CBL,VAV1,LCK	0.00024	0.0264	Proto-oncogene
KEGG	hsa04660	7	100	9606	LCP2,ZAP70,CD3D,CD3E,CD247,VAV1,LCK	LCP2,ZAP70,CD3D,CD3E,CD247,VAV1,LCK	3.69e-14	1.24e-11	T cell receptor signaling pathway
KEGG	hsa04650	7	120	9606	LCP2,TYROBP,ZAP70,CD247,SHC1,VAV1,LCK	LCP2,TYROBP,ZAP70,CD247,SHC1,VAV1,LCK	1.26e-13	2.12e-11	Natural killer cell mediated cytotoxicity
KEGG	hsa04658	5	85	9606	ZAP70,CD3D,CD3E,CD247,LCK	ZAP70,CD3D,CD3E,CD247,LCK	8.02e-10	8.98e-08	Th1 and Th2 cell differentiation
KEGG	hsa05235	5	87	9606	ZAP70,CD3D,CD3E,CD247,LCK	ZAP70,CD3D,CD3E,CD247,LCK	8.97e-10	8.98e-08	PD-L1 expression and PD-1 checkpoint pathway in cancer
KEGG	hsa04659	5	99	9606	ZAP70,CD3D,CD3E,CD247,LCK	ZAP70,CD3D,CD3E,CD247,LCK	1.67e-09	1.12e-07	Th17 cell differentiation
KEGG	hsa05340	4	37	9606	ZAP70,CD3D,CD3E,LCK	ZAP70,CD3D,CD3E,LCK	5.26e-09	2.95e-07	Primary immunodeficiency
KEGG	hsa05135	4	124	9606	LCP2,ZAP70,VAV1,LCK	LCP2,ZAP70,VAV1,LCK	5.41e-07	2.59e-05	Yersinia infection
KEGG	hsa05142	3	97	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	2.03e-05	0.00085	Chagas disease
KEGG	hsa04380	3	120	9606	LCP2,TYROBP,LCK	LCP2,TYROBP,LCK	3.77e-05	0.0014	Osteoclast differentiation
KEGG	hsa05169	3	192	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	0.00015	0.005	Epstein-Barr virus infection
KEGG	hsa05170	3	203	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	0.00017	0.0053	Human immunodeficiency virus 1 infection
KEGG	hsa05166	3	210	9606	CD3D,CD3E,LCK	CD3D,CD3E,LCK	0.00019	0.0054	Human T-cell leukemia virus 1 infection
KEGG	hsa04664	2	65	9606	LCP2,VAV1	LCP2,VAV1	0.00061	0.0159	Fc epsilon RI signaling pathway
KEGG	hsa05100	2	70	9606	CBL,SHC1	CBL,SHC1	0.00071	0.017	Bacterial invasion of epithelial cells
KEGG	hsa05220	2	75	9606	CBL,SHC1	CBL,SHC1	0.00081	0.0181	Chronic myeloid leukemia
